,image_names,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
10,BRACS_1231_N_54,1.1456934,0.8393824,0.34337953,0.1520417,-0.012878918,0.32026282,0.18437316,0.012902867,1.4384311,0.35453096,2.40799,2.7984798,0.6294849,0.059539292,0.02218567,0.09660551,0.690791,0.76810735,1.0312387,2.2135885,1.2620072,0.14371203,0.36386448,2.290768,2.029767,-0.01153234,-0.008862788,0.97894716,3.7622142,4.160042,1.4119002,2.38031,-0.011714729,0.33139357,1.0581352,0.17368904,0.15568085,1.7347673,1.5859216,2.0749578,1.0307363,0.258273,2.454302,0.15600246,2.925944,2.7118962,0.68547285,2.7845597,0.5173138,0.21786521,0.14813042,0.120526515,0.024864815,0.019077742,0.041478727,0.0081632165,0.18068087,0.5262208,0.012724739,0.0338354,1.53925,0.07149376,0.0014202496,3.0202599
11,BRACS_1231_N_58,0.32837605,0.8005818,0.24724765,0.21460506,0.19179839,0.33534804,0.39097336,0.17328192,0.85777473,0.28122333,1.5918853,1.5953318,0.34726956,0.14740382,0.12867351,0.25498033,0.9870057,0.21048078,1.174573,0.7643963,1.1222494,0.41400987,0.03913452,1.8747528,0.52913696,0.10991989,0.21002881,0.25402743,2.4027119,2.777722,0.91291654,2.224251,0.0714206,0.3613264,1.4119964,0.39015102,0.3556857,0.9402925,0.9157634,1.5891186,1.8456526,0.13918595,1.9975083,0.1030113,2.3389137,0.61949635,1.1698835,2.2861192,0.77853155,0.33569336,0.41878024,0.33896548,0.21562369,0.23540713,0.11712307,0.23261817,0.6688468,0.4893189,0.17542315,0.07330852,0.5151742,0.24523467,0.048993938,1.096568
12,BRACS_1231_N_60,0.8377207,1.3239822,0.29230163,0.085377194,0.0072221463,0.11786298,0.18175809,0.09687209,1.098334,0.32643044,2.101401,1.667982,0.36920962,0.08756267,0.024356253,0.15712465,0.7985556,0.58505225,1.1911564,1.3840795,1.0004616,0.1928227,0.1658987,2.5824478,1.2012492,-0.0019074968,0.059084464,0.30065447,3.6708658,4.149389,1.385919,2.473008,-0.008696085,0.20721908,1.5237252,0.14259781,0.21321984,1.3314883,1.0000764,2.471666,1.81576,0.21942218,2.311882,0.018058792,2.7879617,2.1842754,0.9203799,2.9235442,0.6927778,0.13059463,0.25851604,0.15486005,0.08610157,0.11003041,0.030052895,0.034403548,0.35322526,0.5243135,0.022179348,0.10266268,0.7037639,0.23816387,0.04253754,2.6563435
13,BRACS_1231_N_61,1.4128189,0.68801296,0.23977187,0.09934435,-0.021046262,0.41922125,0.14709991,0.109247506,1.7002172,0.6168863,2.2536438,3.0941834,0.5681751,0.027238885,-0.00198757,0.08056787,0.28450242,1.0811164,0.775303,2.8971803,1.2341255,0.03747471,0.6029172,2.6808338,2.5283592,0.0025946526,-0.01572656,1.090137,4.3109927,4.7723093,1.2279116,2.0431147,0.011332062,0.13375238,0.89010304,0.10591285,0.034745023,1.4384564,2.6926498,2.137342,1.135897,0.13676506,3.1067786,0.16130354,3.5799928,3.7563214,0.4341282,3.1152718,0.11199862,0.18567179,0.120474726,0.19087121,0.027156927,0.050326142,0.043041788,0.00993529,0.123146966,0.355235,0.06504103,0.027796092,2.073745,0.21391667,-0.0024881721,3.917483
14,BRACS_1231_N_8,0.6559616,1.1816247,0.23729908,0.08315176,0.02676126,0.18540755,0.16579872,0.19819441,0.95070255,0.44749308,1.8415141,1.5384727,0.33199427,0.1790083,0.08447617,0.19695339,0.8049847,0.47719705,1.1802968,1.2283175,1.0101402,0.25533786,0.23886266,2.6169782,0.9748262,0.02804373,0.062444415,0.33766273,3.243349,3.8208013,1.304003,2.256818,0.009176008,0.23776896,1.637428,0.10520471,0.22815952,1.152063,0.95681196,2.0412147,1.7282231,0.27614093,2.0848818,0.015801497,2.5971012,1.9740173,1.0725765,2.6675029,0.7810109,0.1228723,0.38581994,0.21788797,0.09506521,0.23395376,0.04058805,0.03666193,0.51556164,0.4698077,0.1056332,0.09789076,0.5527284,0.22494957,0.08634622,2.2114286
15,BRACS_1235_N_12,0.56799304,1.9699714,0.40272087,0.03711644,0.056046307,1.5664606,0.1268987,0.67051536,1.9340515,0.6605652,1.3802129,2.1681056,0.8951346,0.11263914,0.43027344,0.07513355,0.77949464,0.14834857,1.1601647,0.69134307,1.4434386,0.20605163,0.07350095,2.3567786,0.5315337,0.9860844,0.045578215,0.6931288,2.5594,2.893574,1.1885569,2.2712078,0.22621694,0.6481652,2.4555123,0.119757034,0.1716063,0.50347936,2.4023821,1.6847124,1.8618935,0.12717113,2.541347,0.31718546,2.0960145,1.3737109,2.1111102,3.0644646,0.50166714,0.12245977,1.1917632,1.2270341,0.05884265,0.20086196,0.10068369,0.037946172,0.40370902,0.3232889,0.35120657,0.28107473,0.5839151,0.02390061,-0.012459462,1.252075
16,BRACS_1235_N_25,0.81759566,1.7074528,0.26810402,0.14329074,0.06110318,1.1819913,0.21228017,0.37334368,1.8030148,0.63380975,1.4485035,2.0297563,0.8966011,0.043171816,0.38388798,0.04833795,0.86278576,0.21308637,1.2247232,0.8974702,1.0495964,0.2549158,0.15356071,1.9471709,0.8298271,0.8824786,0.06568713,0.8174456,2.4055595,2.583693,1.119046,2.235469,0.19706373,0.60534453,1.881713,0.21181177,0.30348918,0.8677406,2.0221987,1.6846769,1.2760326,0.18646379,2.1442835,0.41090345,1.870314,1.4984343,1.6487347,2.7532234,0.6529224,0.1621371,1.1266915,0.9211652,0.069190204,0.14741199,0.13666162,0.020118024,0.3408834,0.34417626,0.22899413,0.26431236,0.83175534,0.03345042,-0.002440675,1.5298293
17,BRACS_1235_N_31,0.51235545,1.1274394,0.07237531,0.020856287,0.020237988,0.97775096,0.026091637,0.23580612,1.0929574,0.6423421,0.7277019,1.7762158,0.50850827,0.083596155,0.5664548,0.014627002,0.57556635,0.15770403,0.905332,0.28308478,1.149544,0.062388413,0.086117044,2.1299284,0.38483438,0.6420468,0.011978426,0.65077883,1.591752,2.1423166,0.517291,1.4720187,0.07711606,0.1473123,1.6455727,0.015296118,0.036945645,0.3901513,1.6066493,1.0561588,1.3221853,0.33632123,1.846366,0.07000815,1.6497582,1.1165731,1.4672533,2.3490794,0.24478498,0.008851353,0.51577693,1.0750244,0.0112137,0.08669719,0.11273055,-0.0063641313,0.5953286,0.2625675,0.13568278,0.35887235,0.30350533,0.05350629,0.00987442,1.1933607
18,BRACS_1235_N_32,0.18915713,1.1369545,0.22510745,0.111772835,0.16354439,1.3945652,0.19728181,0.4288559,1.5046443,0.7096856,0.77576894,1.8246291,0.5125848,0.12563899,0.25354853,0.10133051,0.5195116,0.030719599,1.3975725,0.20349546,2.1129177,0.18169098,0.038640246,2.420714,0.25649476,0.85812074,0.062416323,0.54307365,2.0594609,2.8686507,0.760815,1.755499,0.19196825,0.40384865,2.6280286,0.11836979,0.13055074,0.15148169,2.2816682,0.9132069,2.384068,0.14523205,2.5488498,0.13126647,2.5460823,0.4939049,2.3189483,2.6794734,0.54121804,0.18757477,0.8777693,1.3311182,0.12095712,0.116890214,0.10839163,0.046251573,0.9703256,0.23003533,0.10857955,0.1059399,0.1472705,0.13139361,0.021018626,0.5893965
19,BRACS_1235_N_33,0.6787746,2.2441308,0.502171,0.12060606,0.089141704,1.525311,0.5099023,0.428535,2.19115,0.70976144,1.4678749,1.8426032,1.0077583,0.048171084,0.46342507,0.10264502,1.267744,0.06021646,1.27063,0.68489176,1.4427197,0.37647754,0.043693706,2.1618183,0.6919888,1.0756586,0.2239525,0.5845853,2.2926376,2.507378,1.3414193,2.3480718,0.21559316,0.85040903,2.5530229,0.29281062,0.46757528,0.42152235,1.9071438,1.567988,1.871169,0.16675273,2.3048577,0.40840855,2.0669718,0.98113126,2.19736,2.9492407,0.78765506,0.37453058,1.2250772,1.2436157,0.22251686,0.11763639,0.20801559,0.0130586,0.36385766,0.49680918,0.24667442,0.32553837,0.3236097,0.056556895,-0.0044347844,1.21302
20,BRACS_1235_N_39,0.5122239,1.3078213,0.07529325,0.010574764,-0.0002638023,0.9240102,0.019348573,0.20899677,1.1737984,0.7290096,1.0958412,1.9489205,0.4112693,0.06197668,0.3697328,0.017506642,0.5191012,0.20585898,1.2004088,0.49829128,1.2691828,0.08353216,0.09104902,2.8170478,0.4731597,0.36953148,-0.003750656,0.5395516,2.6979923,3.3765101,0.9328207,2.0211694,0.021016777,0.19628973,2.2748537,0.0055031586,0.03572702,0.4305519,1.7750179,1.4111571,2.091125,0.24602704,2.3349824,0.09099577,2.4035027,1.3270975,1.7450407,3.1561155,0.34747967,0.031118678,0.4002985,1.053038,0.0013641497,0.097260244,0.11843198,-0.006027977,0.7777798,0.26381162,0.12302397,0.17426968,0.4001254,0.13250828,0.0006564193,1.3220047
21,BRACS_1235_N_42,0.65631163,1.2551836,0.124455534,0.10587387,-0.0088029085,0.5474654,0.021050224,0.053723842,1.0619017,0.6257827,1.4971709,2.0075228,0.44176546,0.034208387,0.32299793,0.05201965,0.6958763,0.28584272,1.4300644,0.8503277,0.89056,0.123493046,0.17761177,2.5408258,0.58903676,0.08861419,-0.0056096865,0.63656783,3.0839272,3.4810576,1.1223847,2.0351875,-0.0056341696,0.28459457,1.8638705,0.06698285,0.096086025,0.82118905,1.3358035,1.7832774,1.7380693,0.42349222,2.009,0.025971055,2.2683797,1.6203976,1.4840509,2.9187295,0.64465,0.060494408,0.22058374,0.82815146,0.0064775934,0.07178572,0.18376009,-0.009439489,0.69124484,0.31896284,0.033067193,0.15285848,0.59920263,0.12212173,-0.0035482997,1.6890181
22,BRACS_1235_N_8,0.60741985,1.0896863,0.28360885,0.31362435,0.24319963,0.32653472,0.297536,0.14301136,0.68879855,0.56931144,0.6433839,1.4142014,0.77349496,0.20965296,0.74673724,0.009617177,1.0830531,0.49239737,0.6095789,0.53872377,0.41344166,0.19317311,0.57830495,2.001184,0.69387084,0.076506846,0.07825924,0.962268,1.3771904,1.5963365,0.7031477,0.906218,0.12678581,0.3712689,0.98381776,0.10917501,0.20659345,0.53790635,0.46186987,1.1934305,0.74404263,0.9910619,0.7294928,0.008189835,0.9258082,1.6508507,0.7154619,1.8158367,0.3815648,0.15421198,0.11571722,0.76671034,0.05046371,0.1490076,0.5662126,0.015636241,0.7613569,0.66822517,0.06493181,0.48158774,0.4356317,0.045411635,0.26056,1.4235151
23,BRACS_1235_N_9,0.5725137,1.1858912,0.236918,0.09777688,0.025643906,0.6057717,0.25692368,0.053329863,0.99466056,0.5359091,0.9720444,1.6309471,0.60393673,0.058767464,0.4653574,0.010324161,0.90600723,0.1606181,1.0835239,0.55185455,0.82349336,0.17714156,0.09161687,2.2259264,0.54971284,0.19717424,0.06168757,0.6141047,1.988599,2.3984268,0.8534872,1.4827899,0.016152019,0.37767553,1.6076049,0.1250684,0.21239386,0.54553664,1.1055182,1.3340573,1.3955599,0.3686646,1.514506,0.0034308687,1.7341881,1.1940717,1.3433717,2.3648179,0.5006647,0.16259617,0.20356539,0.8604302,0.029781308,0.05340348,0.19686967,-0.0075237337,0.63168216,0.49836856,0.03246278,0.27331707,0.33638236,0.029049432,0.00905834,1.2086375
24,BRACS_1325_N_1,0.9616082,1.7652766,0.12560742,0.09054131,-0.014304157,0.8050098,0.01277877,0.05397636,1.6188353,0.7287813,1.9837909,2.5084178,0.6850197,-0.0046077324,0.22997631,0.014210393,0.9289128,0.34990716,1.8211461,1.3831435,1.3084773,0.24193464,0.28559813,3.2152689,0.92637825,0.24815707,-0.00962253,0.7919789,4.0531087,4.543878,1.553979,2.7882626,-0.007875406,0.37210628,2.5845428,0.029526958,0.10998803,0.8855765,1.9551445,2.3974516,2.1860778,0.34966612,2.7746174,0.14942998,3.1519709,2.5229979,1.8995684,3.8400066,0.85399085,0.01699217,0.43596348,0.9373227,0.011361576,0.015551233,0.20495154,-0.010388578,0.732172,0.47585535,0.02002427,0.25024244,0.9260021,0.19189914,-0.013953127,2.5691874
25,BRACS_1325_N_10,0.6019382,1.9992431,0.49612275,0.32247582,0.033150796,0.51262736,0.7269101,0.007912171,1.6552745,0.67785,2.619007,2.2221534,0.60088676,0.015358422,0.18918847,0.2318732,1.5795316,0.18378943,2.3016348,1.4094998,1.2925185,0.5257757,0.034672756,2.9199646,0.880343,0.040365968,0.2092778,0.34590283,4.2651134,4.765134,1.9828371,3.2521162,-0.009772132,0.77286404,2.8817399,0.5446009,0.6516148,0.99566346,1.2785811,2.4281313,2.8508532,0.17069037,2.7522192,0.13546357,3.5916061,0.9306261,2.328645,3.5057707,1.5231199,0.6347593,0.49298427,0.84620905,0.20993753,0.10517097,0.05413981,0.023844376,0.7376855,0.7737995,0.013924626,0.08913582,0.4962465,0.34920564,-0.002345615,1.5688194
26,BRACS_1325_N_11,0.558884,1.5738628,0.29290152,0.18928123,0.0067308466,0.26640597,0.21483149,0.09307244,1.0936614,0.5187355,2.0956516,1.6776235,0.4853523,0.15224577,0.2690655,0.15019812,1.275198,0.2967836,1.5837007,1.1598924,0.8208704,0.45462915,0.28033182,2.7270234,0.56576407,0.008613977,0.15825848,0.46346423,3.3453991,3.742416,1.4201425,2.30427,0.00026403496,0.35743034,1.9220494,0.18329127,0.56324106,1.1279111,0.77804,2.1560495,1.826278,0.61553055,1.8795607,0.0063319644,2.398418,1.8847191,1.4309274,2.5865073,1.364975,0.10318429,0.61401814,0.58185554,0.13415973,0.21446928,0.09873612,-0.012537308,0.5528049,0.64175427,0.080362394,0.21547204,0.46583343,0.2090843,0.03339331,2.1338446
27,BRACS_1325_N_13,0.875669,0.9425036,0.116234146,0.13679262,-0.012588987,0.26862237,0.06885672,0.015777271,1.3069638,0.43128806,2.2431827,2.613899,0.47024608,0.0029718303,0.15059349,0.15041387,0.5126503,0.56159407,1.5881141,1.5963491,1.058895,0.1364386,0.25226283,2.1590128,1.0531576,0.0038862475,0.0066282745,0.7144839,3.666666,4.141137,1.1257181,2.3005543,-0.0053646853,0.16191335,1.3234044,0.13545498,0.10846962,1.3949792,1.4980887,2.0351415,1.356319,0.28122893,2.4635413,0.0958734,2.9481945,2.1652076,0.9753128,2.7539124,0.73252255,0.068172544,0.3122409,0.361731,0.023489574,0.025882972,0.072807625,-0.00998466,0.48612148,0.41426185,-0.0010594937,0.08917894,1.2907364,0.1727273,-0.0059261867,2.5148883
28,BRACS_1325_N_4,0.8273766,1.2336336,0.19324751,0.075316384,-0.008948896,0.3064695,0.07528937,0.097663395,0.8429434,0.59722745,1.587828,1.9573152,0.38278285,0.03265622,0.24830309,0.07774799,0.69953996,0.55019397,1.2390157,1.1564904,0.7069808,0.10391618,0.40100414,2.7784686,0.9300289,0.016822975,-0.00515909,0.5662664,3.3044565,3.8926733,1.1756375,2.1451633,-0.0012964316,0.24326399,1.6383464,0.027872937,0.06297686,0.89823407,1.0306846,1.9790099,1.5770532,0.33622807,1.9616954,0.0016813336,2.4912589,2.1211169,1.0551825,2.960012,0.5400289,0.064532384,0.11629993,0.4549898,0.005258832,0.03940078,0.19966477,-0.0053970665,0.675727,0.44965062,0.007821218,0.075303294,0.7040414,0.19251648,0.016852083,2.1850286
29,BRACS_1325_N_5,0.99595046,0.77149504,0.18209217,0.077294126,-0.017856784,0.3330957,0.08555263,0.011137719,1.5491475,0.35734874,2.6700284,3.372599,0.7548306,0.046698913,0.04106512,0.19544923,0.51863897,0.73014665,1.4625716,2.3982105,1.2819939,0.122275755,0.32971156,2.5689995,1.7131494,-0.013223566,-0.010377989,0.9347078,4.178109,4.706635,1.3725532,2.7291303,-0.008482207,0.1899308,1.2243721,0.06710722,0.055119783,1.4529014,1.9394706,2.264527,1.293085,0.1119845,2.9058414,0.11564086,3.5457876,2.8431299,0.9462898,3.1504931,0.5546364,0.14929731,0.19541296,0.22172773,0.0450232,0.0070651667,0.017795518,0.007374802,0.68181074,0.39454833,0.00047959783,0.0029468152,1.6524005,0.10066089,0.03230804,3.3088598
30,BRACS_1325_N_6,0.37680632,1.211433,0.20613067,0.14749534,0.0065103197,0.3124613,0.15572435,0.06542626,1.7002716,0.27831137,2.8571289,2.6474128,0.4321185,0.015336814,0.082625605,0.37781355,1.1159996,0.22525539,2.6560907,1.3901408,1.6597598,0.6086946,0.049180638,2.2200913,0.71222115,0.02151947,0.10011382,0.49647236,3.9121077,4.5240445,1.5682338,3.4893963,-0.010451975,0.3600764,2.1991951,0.41952088,0.6294735,1.3913805,1.4590561,2.396958,2.5208163,0.13120748,2.93778,0.08509285,3.8380666,1.036354,2.0723598,2.976087,1.8290322,0.28945243,0.7897757,0.54559004,0.16190383,0.23538329,0.008206412,0.11819385,0.84856486,0.55218613,0.07250919,0.01828643,0.90277064,0.18691234,-0.0039355853,1.7832496
31,BRACS_1325_N_7,0.766728,2.0040436,0.19873182,0.24073389,0.0028882215,0.87932515,0.0762137,0.029062916,1.5176057,0.7123216,1.9420978,2.5709178,0.9307913,0.09608179,0.22776392,0.2517025,0.8332633,0.2405559,1.7150244,1.1214534,1.1113629,0.24439628,0.12037462,2.9047291,0.9347463,0.28423822,0.075252466,1.0503253,3.6025434,3.971085,1.2372835,2.7460918,0.09396723,0.14081839,2.2607443,0.23939943,0.31066063,0.927948,1.566373,2.2134242,2.1092968,0.68978393,2.2261884,0.15606928,2.9234502,2.067369,1.6884158,3.4111073,1.1491154,0.053967938,0.54419476,1.0895776,0.111880004,0.12653838,0.30315277,0.03935867,0.57124096,0.7267434,0.03850658,0.25953418,0.68070257,0.40135285,0.00910844,2.1948335
32,BRACS_1325_N_8,0.5524013,2.080223,0.0217415,0.0057034874,-0.0062938263,1.2907567,-0.018738655,0.16096416,1.9841679,0.90202165,2.3279786,2.5480275,0.48323384,-0.001312982,0.27864113,0.075252555,0.9533247,0.18911284,2.4919136,0.7378782,2.0450478,0.35884717,0.13072824,3.6115677,0.5088777,0.5857067,0.045680653,0.5885425,4.389577,5.2305946,1.598246,3.4457843,0.116271354,0.20202017,3.743861,-0.006352703,0.31952047,0.685701,2.4938843,2.236947,3.3150442,0.30125216,3.553468,0.17182072,4.020288,1.3520718,3.0723472,4.37128,1.4824833,0.0018112011,1.1355108,1.3909472,0.113693416,0.07382504,0.19582951,-0.0030734818,0.74428785,0.32643786,0.08788903,0.18843661,0.48465827,0.3147704,-0.012623824,1.698489
